ean,brand,title_alt,title_neu,final,len_alt,len_neu,ok
0740617277357,Kingston Technology,"Kingston Technology A400 960 GB 2.5"" Serial ATA III TLC",Kingston Technology A400 960 NEU,Kingston Technology A400 960 NEU,55,32,JA
4719692019950,G.Skill,G.Skill Value memory module,G.Skill Value RAM Arbeitsspeicher 8GB 2666MHz DDR4 NEU,G.Skill Value RAM Arbeitsspeicher 8GB 2666MHz DDR4 NEU,27,54,JA
4719692013460,G.Skill,G.Skill Aegis F4-3000C16D-32GISB memory module,G.Skill F4-3000C16D-32GISB RAM Arbeitsspeicher 32GB 3000MHz DDR4 2x Kit NEU,G.Skill F4-3000C16D-32GISB RAM Arbeitsspeicher 32GB 3000MHz DDR4 2x Kit NEU,46,75,JA
6935364010751,TP-Link,TP-Link Omada SG3452 Netzwerk-Switch Managed L2+ Gigabit Ethernet (10/100/1000) 1U Schwarz,TP-Link SG3452 Netzwerk Switch NEU,TP-Link SG3452 Netzwerk Switch NEU,90,34,JA
5099206080270,Logitech,Logitech G 910-005471 mouse,Logitech 910-005471 Maus NEU,Logitech G 910-005471 Maus NEU,27,28,NEIN
0817882025607,Ubiquiti,Ubiquiti CKG2-RM rack accessory,Ubiquiti CKG2-RM NEU,Ubiquiti CKG2-RM rack accessory,31,20,NEIN
5706991019940,Jabra,Jabra Evolve 30 II Kopfhörer Kabelgebunden Kopfband Büro/Callcenter USB Type-C / USB Type-A Schwarz,Jabra II Kopfhörer NEU,Jabra Evolve 30 II Kopfhörer Kabelgebunden Kopfband Büro/Callcenter USB Type-C / USB Type-A Schwarz,99,22,NEIN
5706991019957,Jabra,Jabra Evolve 30 II UC Mono,Jabra II UC Kopfhörer NEU,Jabra Evolve 30 II UC Mono,26,25,NEIN
5099206079526,Logitech,Logitech Rally Plus video conferencing system,Logitech 4K UHD NEU,Logitech Rally Plus video conferencing system,45,19,NEIN
5099206088252,Logitech,Logitech 920-009474 mobile device keyboard,Logitech Tastatur NEU,Logitech 920-009474 mobile device keyboard,42,21,NEIN
6935364053413,TP-Link,TP-Link AC1300-High-Gain-Dualband-USB-WLAN-Adapter,TP-Link AC1300-H WLAN USB Adapter Wi-Fi 5 kabellos NEU,TP-Link AC1300-H WLAN USB Adapter Wi-Fi 5 kabellos NEU,50,54,JA
0817882025966,Ubiquiti,Ubiquiti UniFi Dream Machine wireless router,Ubiquiti UniFi Dream Machine WLAN Router kabellos NEU,Ubiquiti UniFi Dream Machine WLAN Router kabellos NEU,44,53,JA
5099206077461,Logitech,Logitech 920-008685 keyboard,Logitech Netzwerk Switch kabellos NEU,Logitech Netzwerk Switch kabellos NEU,28,37,JA
6938818303171,Yealink,Yealink SIP-T54W IP-Telefon Schwarz 10 Zeilen LCD WLAN,Yealink SIP-T54W LAN Netzwerkkabel NEU,Yealink SIP-T54W LAN Netzwerkkabel NEU,54,38,JA
5706991022865,Jabra,Jabra Evolve2 65 Kopfhörer Kabellos Kopfband Büro/Callcenter USB Typ-C Bluetooth Ladestation,Jabra Bluetooth Kopfhörer kabellos NEU,Jabra Bluetooth Kopfhörer kabellos NEU,92,38,JA
5706991022803,Jabra,Jabra Evolve2 65,Jabra Evolve2 65 Kopfhörer kabellos NEU,Jabra Evolve2 65 Kopfhörer kabellos NEU,16,39,JA
5706991022902,Jabra,Jabra Evolve2 65 Kopfhörer Kabellos Kopfband Büro/Callcenter USB Typ-A Bluetooth Ladestation,Jabra Bluetooth Kopfhörer kabellos NEU,Jabra Bluetooth Kopfhörer kabellos NEU,92,38,JA
5706991023299,Jabra,Jabra Evolve2 85 Kopfhörer Kabellos Kopfband Büro/Callcenter USB Typ-A Bluetooth Schwarz,Jabra Bluetooth Kopfhörer kabellos NEU,Jabra Bluetooth Kopfhörer kabellos NEU,88,38,JA
5706991023275,Jabra,Jabra Evolve2 85,Jabra Evolve2 85 Kopfhörer kabellos NEU,Jabra Evolve2 85 Kopfhörer kabellos NEU,16,39,JA
5706991023213,Jabra,Jabra Evolve2 85 Kopfhörer Kabellos Kopfband Büro/Callcenter USB Typ-A Bluetooth Schwarz,Jabra Bluetooth Kopfhörer kabellos NEU,Jabra Bluetooth Kopfhörer kabellos NEU,88,38,JA
5706991023190,Jabra,Jabra Evolve2 85 Kopfhörer Kabellos Kopfband Büro/Callcenter USB Typ-C Bluetooth Schwarz,Jabra Bluetooth Kopfhörer kabellos NEU,Jabra Bluetooth Kopfhörer kabellos NEU,88,38,JA
0649528903549,Crucial,Crucial CT8G4DFRA32A memory module,Crucial CT8G4DFRA32A RAM Arbeitsspeicher 8GB 3200MHz DDR4 NEU,Crucial CT8G4DFRA32A RAM Arbeitsspeicher 8GB 3200MHz DDR4 NEU,34,61,JA
0649528903600,Crucial,Crucial CT16G4SFRA32A memory module,Crucial CT16G4SFRA32A RAM Arbeitsspeicher 16GB 3200MHz DDR4 NEU,Crucial CT16G4SFRA32A RAM Arbeitsspeicher 16GB 3200MHz DDR4 NEU,35,63,JA
4713294224378,G.Skill,G.Skill Aegis F4-3200C16S-8GIS memory module,G.Skill F4-3200C16S-8GIS RAM Arbeitsspeicher 8GB 3200MHz DDR4 NEU,G.Skill F4-3200C16S-8GIS RAM Arbeitsspeicher 8GB 3200MHz DDR4 NEU,44,65,JA
4713294224385,G.Skill,G.Skill Aegis F4-3200C16D-16GIS memory module,G.Skill F4-3200C16D-16GIS RAM Arbeitsspeicher 16GB 3200MHz DDR4 2x Kit NEU,G.Skill F4-3200C16D-16GIS RAM Arbeitsspeicher 16GB 3200MHz DDR4 2x Kit NEU,45,74,JA
4713294224415,G.Skill,G.Skill Aegis F4-3200C16D-32GIS memory module,G.Skill F4-3200C16D-32GIS RAM Arbeitsspeicher 32GB 3200MHz DDR4 2x Kit NEU,G.Skill F4-3200C16D-32GIS RAM Arbeitsspeicher 32GB 3200MHz DDR4 2x Kit NEU,45,74,JA
4713294223449,G.Skill,G.Skill Trident Z F4-3600C16D-16GTZNC memory module,G.Skill F4-3600C16D-16GTZNC RAM Arbeitsspeicher 16GB 3600MHz DDR4 2x Kit NEU,G.Skill F4-3600C16D-16GTZNC RAM Arbeitsspeicher 16GB 3600MHz DDR4 2x Kit NEU,51,76,JA
0817882028547,Ubiquiti,Ubiquiti UniFi 16-Port PoE,Ubiquiti UniFi 16-Port PoE NEU,Ubiquiti UniFi 16-Port PoE NEU,26,30,JA
6935364088095,TP-Link,TP-Link Tapo Indoor WLAN-Sicherheitskamera,TP-Link WLAN-S LAN Netzwerkkabel 2400MHz kabellos NEU,TP-Link WLAN-S LAN Netzwerkkabel 2400MHz kabellos NEU,42,53,JA
0810010073051,Ubiquiti,Ubiquiti UNVR network video recorder,Ubiquiti UNVR 4GB 100W NEU,Ubiquiti UNVR network video recorder,36,26,NEIN
0619659182557,SanDisk,SanDisk Extreme Portable,SanDisk Extreme Portable 1TB NEU,SanDisk Extreme Portable 1TB NEU,24,32,JA
0194252157022,Apple,Apple MHJE3ZM/A mobile device charger,Apple MHJE3ZM NEU,Apple MHJE3ZM/A mobile device charger,37,17,NEIN
5099206092372,Logitech,Logitech 920-009794 keyboard,Logitech Maus kabellos leise NEU,Logitech Maus kabellos leise NEU,28,32,JA
0718037877662,Western Digital,Western Digital Red Pro internal hard drive,Western Digital 16TB NEU,Western Digital Red Pro internal hard drive,43,24,NEIN
0619659181314,SanDisk,SanDisk Extreme PRO Portable,SanDisk Extreme PRO Portable 2TB NEU,SanDisk Extreme PRO Portable 2TB NEU,28,36,JA
4713294223623,G.Skill,G.Skill Ripjaws V F4-3600C16D-32GVKC memory module,G.Skill F4-3600C16D-32GVKC RAM Arbeitsspeicher 32GB 3600MHz DDR4 2x Kit NEU,G.Skill F4-3600C16D-32GVKC RAM Arbeitsspeicher 32GB 3600MHz DDR4 2x Kit NEU,50,75,JA
8806090545931,Samsung,"Samsung 870 EVO 250 GB 2.5"" Serial ATA III V-NAND MLC",Samsung EVO 250 NEU,"Samsung 870 EVO 250 GB 2.5"" Serial ATA III V-NAND MLC",53,19,NEIN
8806090545924,Samsung,"Samsung 870 EVO 500 GB 2.5"" Serial ATA III V-NAND MLC",Samsung EVO 500 NEU,"Samsung 870 EVO 500 GB 2.5"" Serial ATA III V-NAND MLC",53,19,NEIN
8806090545917,Samsung,"Samsung 870 EVO 1 TB 2.5"" Serial ATA III V-NAND MLC",Samsung EVO 1 NEU,"Samsung 870 EVO 1 TB 2.5"" Serial ATA III V-NAND MLC",51,17,NEIN
8806090545900,Samsung,Samsung 870 EVO,Samsung EVO 2TB NEU,Samsung 870 EVO,15,19,NEIN
8806090545894,Samsung,"Samsung 870 EVO 4 TB 2.5"" Serial ATA III V-NAND MLC",Samsung EVO 4 NEU,"Samsung 870 EVO 4 TB 2.5"" Serial ATA III V-NAND MLC",51,17,NEIN
0619659177171,SanDisk,SanDisk Ultra Dual Drive Go USB flash drive,SanDisk Ultra Dual Drive Go USB-Stick 64GB NEU,SanDisk Ultra Dual Drive Go USB-Stick 64GB NEU,43,46,JA
0619659178581,SanDisk,SanDisk Ultra Dual Drive Luxe USB flash drive,SanDisk USB-Stick 32GB NEU,SanDisk Ultra Dual Drive Luxe USB flash drive,45,26,NEIN
0619659179144,SanDisk,SanDisk Ultra Dual Drive Luxe USB flash drive,SanDisk USB-Stick 256GB NEU,SanDisk Ultra Dual Drive Luxe USB flash drive,45,27,NEIN
0619659179069,SanDisk,SanDisk Ultra Dual Drive Luxe USB flash drive,SanDisk USB-Stick 128GB NEU,SanDisk Ultra Dual Drive Luxe USB flash drive,45,27,NEIN
0619659172510,SanDisk,SanDisk 00183579 USB flash drive,SanDisk USB-Stick 32GB NEU,SanDisk 00183579 USB flash drive,32,26,NEIN
0619659172831,SanDisk,SanDisk Ultra Luxe USB flash drive,SanDisk Ultra Luxe USB-Stick 64GB NEU,SanDisk Ultra Luxe USB-Stick 64GB NEU,34,37,JA
0619659172855,SanDisk,SanDisk 00183581 USB flash drive,SanDisk USB-Stick 128GB NEU,SanDisk 00183581 USB flash drive,32,27,NEIN
0619659184674,SanDisk,SanDisk Extreme Portable,SanDisk Extreme Portable 2TB NEU,SanDisk Extreme Portable 2TB NEU,24,32,JA
0718037877501,Western Digital,Western Digital Blue internal hard drive,Western Digital Blue internal hard 2TB NEU,Western Digital Blue internal hard 2TB NEU,40,42,JA
5099206079359,Logitech,Logitech MK545 ADVANCED Wireless and Mouse Combo keyboard,Logitech MK545 ADVANCED Maus kabellos NEU,Logitech MK545 ADVANCED Maus kabellos NEU,57,41,JA
0619659184704,SanDisk,SanDisk Extreme Portable,SanDisk Extreme Portable 4TB NEU,SanDisk Extreme Portable 4TB NEU,24,32,JA
0619659184735,SanDisk,SanDisk Extreme PRO,SanDisk Extreme 4TB NEU,SanDisk Extreme PRO,19,23,NEIN
0810010071163,Ubiquiti,Ubiquiti UniFi Switch Lite 16 PoE,Ubiquiti UniFi Switch Lite 16 PoE NEU,Ubiquiti UniFi Switch Lite 16 PoE NEU,33,37,JA
0810010073068,Ubiquiti,Ubiquiti UniFi USW-ENTERPRISE-24-POE-EU network switch,Ubiquiti USW-ENTERPRISE-24-POE-EU Netzwerk Switch PoE NEU,Ubiquiti USW-ENTERPRISE-24-POE-EU Netzwerk Switch PoE NEU,54,57,JA
0097855167675,Logitech,Logitech 952-000047 video conferencing system,Logitech NEU,Logitech 952-000047 video conferencing system,45,12,NEIN
0097855166067,Logitech,Logitech 952-000020 video conferencing system,Logitech NEU,Logitech 952-000020 video conferencing system,45,12,NEIN
0097855162045,Logitech,Logitech 960-001360 webcam,Logitech Webcam Full HD NEU,Logitech 960-001360 webcam,26,27,NEIN
5099206089365,Logitech,Logitech 960-001323 video conferencing system,Logitech 4K UHD NEU,Logitech 960-001323 video conferencing system,45,19,NEIN
0195348192095,Lenovo,Lenovo ThinkPad Universal USB-C Dock Kabelgebunden USB 3.2 Gen 1 (3.1 Gen 1) Type-C Schwarz,Lenovo USB-C Kabel USB 3.2 4K UHD NEU,Lenovo USB-C Kabel USB 3.2 4K UHD NEU,91,37,JA
0740617319903,Kingston Technology,Kingston Technology FURY Beast 16GB 3200MT/s DDR4 CL16 DIMM (2er-Kit) Black,Kingston Technology FURY RAM Arbeitsspeicher 16GB DDR4 2x Kit NEU,Kingston Technology FURY RAM Arbeitsspeicher 16GB DDR4 2x Kit NEU,75,65,JA
0195348677295,Lenovo,"Lenovo 40B00300EU laptop-dockingstation & portreplikator Kabelgebunden Thunderbolt 4 Schwarz, Rot",Lenovo B00300EU Thunderbolt Kabel 230W NEU,Lenovo B00300EU Thunderbolt Kabel 230W NEU,97,42,JA
3660619040247,Seagate,Seagate Expansion STKM2000400 Externe Festplatte 2 TB USB Typ-A 3.2 Gen 1 (3.1 Gen 1) Schwarz,Seagate STKM2000400 Festplatte HDD 2TB NEU,Seagate STKM2000400 Festplatte HDD 2TB NEU,93,42,JA
6935364072469,TP-Link,TP-Link AC1900 Wi-Fi Range Extender,TP-Link AC1900 NEU,TP-Link AC1900 Wi-Fi Range Extender,35,18,NEIN
0649528905628,Crucial,Crucial CT16G48C40U5 memory module,Crucial CT16G48C40U5 RAM Arbeitsspeicher 16GB 4800MHz DDR5 NEU,Crucial CT16G48C40U5 RAM Arbeitsspeicher 16GB 4800MHz DDR5 NEU,34,62,JA
0740617321333,Kingston Technology,Kingston Technology 2000G Tragbare SSD XS2000,Kingston Technology SSD 2TB NEU,Kingston Technology SSD 2TB NEU,45,31,JA
0740617324358,Kingston Technology,Kingston Technology FURY Beast memory module,Kingston Technology FURY RAM Arbeitsspeicher 32GB DDR5 2x Kit NEU,Kingston Technology FURY RAM Arbeitsspeicher 32GB DDR5 2x Kit NEU,44,65,JA
5099206090828,Logitech,Logitech 910-005843 wireless presenter,Logitech Bluetooth 20m NEU,Logitech 910-005843 wireless presenter,38,26,NEIN
8886419333265,Razer,Razer DeathAdder Essential mouse,Razer DeathAdder Essential Maus 6400 DPI NEU,Razer DeathAdder Essential Maus 6400 DPI NEU,32,44,JA
0740617318388,Kingston Technology,Kingston Technology FURY Impact memory module,Kingston Technology FURY RAM Arbeitsspeicher 32GB DDR4 2x Kit NEU,Kingston Technology FURY RAM Arbeitsspeicher 32GB DDR4 2x Kit NEU,45,65,JA
6938818303188,Yealink,Yealink SIP-T53W IP-Telefon Grau 8 Zeilen LCD WLAN,Yealink SIP-T53W LAN Netzwerkkabel NEU,Yealink SIP-T53W LAN Netzwerkkabel NEU,50,38,JA
6938818306196,Yealink,Yealink W90B DECT base station,Yealink W90B DECT NEU,Yealink W90B DECT base station,30,21,NEIN
6938818306202,Yealink,Yealink W90DM DECT-Basisstation Weiß,Yealink W90DM DECT-B 1900MHz NEU,Yealink W90DM DECT-B 1900MHz NEU,36,32,JA
6938818307575,Yealink,Yealink W73H IP phone,Yealink W73H IP NEU,Yealink W73H IP phone,21,19,NEIN
6938818307667,Yealink,Yealink SIP-T58W IP-Telefon Grau LCD WLAN,Yealink SIP-T58W LAN Netzwerkkabel NEU,Yealink SIP-T58W LAN Netzwerkkabel NEU,41,38,JA
8719706028288,Seagate,"Seagate SkyHawk ST4000VX016 Interne Festplatte 4 TB 256 MB 3.5"" Serial ATA III",Seagate ST4000VX016 Festplatte HDD 4TB NEU,Seagate ST4000VX016 Festplatte HDD 4TB NEU,78,42,JA
0718037884639,Western Digital,Western Digital Blue SA510,Western Digital SA510 500GB NEU,Western Digital SA510 500GB NEU,26,31,JA
0718037884653,Western Digital,Western Digital Blue SA510,Western Digital SA510 1TB NEU,Western Digital Blue SA510,26,29,NEIN
6971408155620,Xiaomi,Xiaomi TV Stick 4K,Xiaomi TV 4K UHD NEU,Xiaomi TV Stick 4K,18,20,NEIN
0619659188566,SanDisk,SanDisk Extreme PRO,SanDisk Extreme Speicherkarte 512GB NEU,SanDisk Extreme Speicherkarte 512GB NEU,19,39,JA
0730143314558,AMD,AMD Ryzen 9 7900X processor,AMD Prozessor CPU NEU,AMD Ryzen 9 7900X processor,27,21,NEIN
0718037893501,Western Digital,Western Digital Red Pro internal hard drive,Western Digital 22TB NEU,Western Digital Red Pro internal hard drive,43,24,NEIN
4779027312415,Teltonika,Teltonika TRB145 digital/analogue I/O module,Teltonika TRB145 NEU,Teltonika TRB145 digital/analogue I/O module,44,20,NEIN
5099206099784,Logitech,Logitech 910-006473 mouse,Logitech Maus Bluetooth 4000 DPI NEU,Logitech Maus Bluetooth 4000 DPI NEU,25,36,JA
5099206103016,Logitech,Logitech 920-010748 keyboard,Logitech Netzwerk Switch Bluetooth NEU,Logitech Netzwerk Switch Bluetooth NEU,28,38,JA
5099206105140,Logitech,Logitech 920-010994 keyboard,Logitech Netzwerk Switch Bluetooth NEU,Logitech Netzwerk Switch Bluetooth NEU,28,38,JA
6938818308497,Yealink,Yealink W79P IP-Telefon Schwarz 20 Zeilen TFT WLAN,Yealink W79P IP-T LAN Netzwerkkabel NEU,Yealink W79P IP-T LAN Netzwerkkabel NEU,50,39,JA
6938818310186,Yealink,Yealink W78P IP-Telefon Schwarz TFT,Yealink W78P IP-T NEU,Yealink W78P IP-Telefon Schwarz TFT,35,21,NEIN
0190198496201,Apple,Apple MW2R3ZM/A lightning cable,Apple MW2R3ZM 2m NEU,Apple MW2R3ZM/A lightning cable,31,20,NEIN
8806094215021,Samsung,Samsung 990 PRO 1 TB M.2 PCI Express 4.0 NVMe V-NAND MLC,Samsung M.2 NVMe SSD 1TB NEU,Samsung PRO 1 M.2 NVMe SSD NEU,56,28,NEIN
8806094215038,Samsung,Samsung 990 PRO 2 TB M.2 PCI Express 4.0 NVMe V-NAND MLC,Samsung M.2 NVMe SSD 2TB NEU,Samsung PRO 2 M.2 NVMe SSD NEU,56,28,NEIN
5032037258623,Intel,Intel Core i9-13900KF processor,Intel Prozessor CPU NEU,Intel Core i9-13900KF processor,31,23,NEIN
8719706432351,Seagate,Seagate IronWolf Pro ST4000NT001 internal hard drive,Seagate ST4000NT001 4TB NEU,Seagate IronWolf Pro ST4000NT001 internal hard drive,52,27,NEIN
8719706432276,Seagate,"Seagate IronWolf Pro ST20000NT001 Interne Festplatte 20 TB 7200 RPM 256 MB 3.5""",Seagate ST20000NT001 Festplatte HDD 20TB NEU,Seagate ST20000NT001 Festplatte HDD 20TB NEU,79,44,JA
0194253494850,Apple,Apple MW493ZM/A USB cable,Apple MW493ZM USB Kabel 1m NEU,Apple MW493ZM USB Kabel 1m NEU,25,30,JA
5099206099876,Logitech,Logitech 910-006495 mouse,Logitech Maus Bluetooth 4000 DPI NEU,Logitech Maus Bluetooth 4000 DPI NEU,25,36,JA
0718037899794,Western Digital,Western Digital Red Plus internal hard drive,Western Digital 4TB NEU,Western Digital Red Plus internal hard drive,44,23,NEIN
5706991024340,Jabra,Jabra Evolve2 75 Kopfhörer Kabellos Kopfband Büro/Callcenter Bluetooth Schwarz,Jabra Bluetooth Kopfhörer kabellos NEU,Jabra Bluetooth Kopfhörer kabellos NEU,78,38,JA
5060408465301,Yubico,Yubico 8880001089 hardware authenticator,Yubico NEU,Yubico 8880001089 hardware authenticator,40,10,NEIN
5704174522720,Honeywell,Honeywell Genesis XP 7680g,Honeywell XP 7680 NEU,Honeywell Genesis XP 7680g,26,21,NEIN
0649528906519,Crucial,Crucial CT8G48C40S5 memory module,Crucial CT8G48C40S5 RAM Arbeitsspeicher 8GB 4800MHz DDR5 NEU,Crucial CT8G48C40S5 RAM Arbeitsspeicher 8GB 4800MHz DDR5 NEU,33,60,JA
4713294226631,G.Skill,G.Skill Ripjaws F4-3200C22D-16GRS memory module,G.Skill F4-3200C22D-16GRS RAM Arbeitsspeicher 16GB 3200MHz DDR4 2x Kit NEU,G.Skill F4-3200C22D-16GRS RAM Arbeitsspeicher 16GB 3200MHz DDR4 2x Kit NEU,47,74,JA
0718037891392,Western Digital,Western Digital Black WD_BLACK SN850X NVMe,Western Digital BLACK SN850X M.2 NVMe SSD 1TB NEU,Western Digital BLACK SN850X M.2 NVMe SSD 1TB NEU,42,49,JA
0718037891408,Western Digital,Western Digital Black WD_BLACK SN850X NVMe,Western Digital BLACK SN850X M.2 NVMe SSD 2TB NEU,Western Digital BLACK SN850X M.2 NVMe SSD 2TB NEU,42,49,JA
